timestamp,mode,U2,RF_amplitude,line_id,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4
20260207_002202,trapped,-0.23500000000000001,2.5,4,2,115.0,135.0,1,0.5068597395772241,-810.9904073802402,0.2266880490835636,-0.018258143877712754,123.54103839892882,2.6495234631155444,,,,,,,,,
20260207_003521,lost,-0.23500000000000001,2.5,5,2,136.0,156.0,2,0.9525720440160649,-913.3897438185335,0.015584609028245638,0.042519505378683826,147.81526858791614,0.4129083691378387,0.041863988242818964,143.39003772800763,1.6590619976887193,,,,,,
20260207_003521,trapped,-0.23500000000000001,2.5,5,2,136.0,156.0,3,0.9041994673401746,-825.9299619119018,0.2294972903858443,-0.0459370249164857,147.83592680772148,0.2584177525915258,-0.048297087092435916,143.477602856949,1.5291867131342052,-0.014695979001109727,148.4666020430171,1.3527338261521187,,,
20260207_005036,lost,-0.23500000000000001,2.5,0,3,31.0,51.0,2,0.9482880275267631,-922.591160819464,0.016230911048685227,0.026821720259696175,41.31240065957276,0.8593841228290972,0.02310987953169608,39.57165311922275,3.2050182410969685,,,,,,
20260207_005036,trapped,-0.23500000000000001,2.5,0,3,31.0,51.0,2,0.9212143569955208,-837.3038436807061,0.22697428052643323,-0.029454630229637166,41.11001109582662,0.471058738069514,-0.04092130826368692,39.605461069115556,2.586422534539505,,,,,,
20260207_010441,lost,-0.23500000000000001,2.5,1,3,52.0,72.0,2,0.9793657316256836,-927.5804307276273,0.02298605987721497,0.042391025414613676,63.06197399172445,0.7412577649984629,0.040550637347784614,60.889532504638844,3.6230604900081658,,,,,,
20260207_010441,trapped,-0.23500000000000001,2.5,1,3,52.0,72.0,2,0.928515412338773,-833.3521930403572,0.22013690916211323,-0.03761346553543989,61.64085505250799,3.33592311337808,-0.031102922671439402,62.92985998697102,0.9011400185583653,,,,,,
20260207_011816,lost,-0.23500000000000001,2.5,2,3,73.0,93.0,1,0.9119285740338305,-938.3663233152444,0.017309383631385046,0.027092360410556068,81.36814255707489,2.1883047859478033,,,,,,,,,
20260207_011816,trapped,-0.23500000000000001,2.5,2,3,73.0,93.0,4,0.8965586990684539,-838.9370407809246,0.22943405196848146,-0.03238974770246386,81.72621040827991,2.2636486094857458,-0.023984385458142736,79.94203387329364,0.7059820245091608,-0.010964655368456649,74.64774588820092,1.407667366084654,-0.012557043508817903,87.61300866621363,0.25000000000000006
20260207_013245,lost,-0.23500000000000001,2.5,3,3,94.0,114.0,2,0.9718054463257589,-873.54529590099,0.018730934600967798,0.07818264306868705,106.7880348062004,0.30200510979721906,0.04962732345439852,105.69713435848017,1.7588908887501034,,,,,,
